pagina,classe,n_chars,n_palavras,qualidade_pagina
1,qualidade_baixa,0,0,baixa
2,paratexto,16,2,boa
3,paratexto,35,5,boa
4,paratexto,210,31,boa
5,paratexto,635,93,boa
6,paratexto,2004,147,boa
7,paratexto,3294,202,boa
8,paratexto,720,108,boa
9,paratexto,352,42,boa
10,paratexto,734,104,boa
11,paratexto,35,5,boa
12,paratexto,2000,294,boa
13,paratexto,2780,453,boa
14,paratexto,2790,457,boa
15,paratexto,1285,200,boa
16,inicio_capitulo,1679,290,boa
17,corpo,3425,561,boa
18,corpo,2827,436,boa
19,corpo,2781,410,boa
20,corpo,2782,421,boa
21,corpo,2789,416,boa
22,corpo,2313,350,boa
23,corpo,2453,372,boa
24,corpo,2606,393,boa
25,corpo,2658,398,boa
26,corpo,2727,401,boa
27,corpo,2701,381,boa
28,corpo,2550,394,boa
29,corpo,2804,399,boa
30,corpo,2877,450,boa
31,corpo,2748,419,boa
32,corpo,2771,436,boa
33,corpo,2859,446,boa
34,corpo,2581,391,boa
35,corpo,2622,408,boa
36,corpo,2802,435,boa
37,corpo,2772,410,boa
38,corpo,2741,437,boa
39,corpo,2792,420,boa
40,corpo,2775,544,boa
41,corpo,2549,404,boa
42,corpo,2464,387,boa
43,notas_fim,1742,281,boa
44,inicio_capitulo,1425,225,boa
45,corpo,2766,431,boa
46,corpo,2549,412,boa
47,qualidade_baixa,0,0,baixa
48,corpo,2804,478,boa
49,corpo,2732,442,boa
50,corpo,2771,441,boa
51,corpo,2845,478,boa
52,corpo,2811,452,boa
53,corpo,2758,402,boa
54,corpo,2680,423,boa
55,corpo,2776,411,boa
56,corpo,2837,450,boa
57,corpo,2804,413,boa
58,qualidade_baixa,0,0,baixa
59,corpo,2747,460,boa
60,corpo,815,141,boa
61,corpo,2810,451,boa
62,corpo,2773,415,boa
63,corpo,2913,570,boa
64,corpo,2726,430,boa
65,corpo,2861,504,boa
66,corpo,2721,428,boa
67,corpo,2775,454,boa
68,qualidade_baixa,0,0,baixa
69,corpo,2803,439,boa
70,corpo,2641,430,boa
71,corpo,2766,451,boa
72,corpo,2790,456,boa
73,corpo,2576,378,boa
74,corpo,2727,414,boa
75,corpo,2673,429,boa
76,corpo,2878,560,boa
77,corpo,2785,420,boa
78,corpo,2807,455,boa
79,corpo,2605,476,boa
80,corpo,2540,450,boa
81,corpo,2779,439,boa
82,corpo,2524,384,boa
83,qualidade_baixa,0,0,baixa
84,corpo,2653,420,boa
85,corpo,2786,433,boa
86,corpo,2697,437,boa
87,corpo,2576,411,boa
88,corpo,2784,445,boa
89,notas_fim,2759,420,boa
90,notas_fim,4015,668,boa
91,notas_fim,2983,484,boa
92,notas_fim,45,3,boa
93,notas_fim,35,5,boa
94,notas_fim,49,4,boa
95,notas_fim,32,4,media
96,notas_fim,49,4,boa
97,notas_fim,32,4,media
98,notas_fim,49,4,boa
99,notas_fim,32,4,media
100,notas_fim,49,4,boa
101,notas_fim,34,4,media
102,notas_fim,50,4,boa
103,notas_fim,34,4,media
104,notas_fim,50,4,boa
105,notas_fim,35,5,boa
106,inicio_capitulo,1474,235,boa
107,corpo,2891,450,boa
